OperandA, OperandB, Result, Exception
          1,          0,    -131071,1
          0,          1,          0,0
          1,          2,     -65536,1
          2,         -4,     131072,1
          2,          1,    -131072,1
         -4,          2,    -229377,0
          8,          4,     507905,0
         16,         -8,    1048576,1
         32,         16,   -2097152,1
        -64,         32,   -4192257,0
        128,         64,    8387585,0
        256,       -128,   16777216,1
        512,        256,  -33554432,1
      -1024,        512,  -67108737,0
       2048,       1024,  134217665,0
       4096,      -2048,  268435456,1
       8192,       4096, -536870912,1
     -16384,       8192,-1073741817,0
      32768,      16384, 2147483645,0
-2147483648,          2,      16384,1
