Test Number, OperandA, OperandB, Result, Exception, Exp Result, Exp Exception
1,          1,          0,    -131071,1,          0,1
3,          1,          2,     -65536,1,          0,0
4,          2,         -4,     131072,1,          0,0
5,          2,          1,    -131072,1,          2,0
6,         -4,          2,    -229377,0,         -2,0
7,          8,          4,     507905,0,          2,0
8,         16,         -8,    1048576,1,         -2,0
9,         32,         16,   -2097152,1,          2,0
10,        -64,         32,   -4192257,0,         -2,0
11,        128,         64,    8387585,0,          2,0
12,        256,       -128,   16777216,1,         -2,0
13,        512,        256,  -33554432,1,          2,0
14,      -1024,        512,  -67108737,0,         -2,0
15,       2048,       1024,  134217665,0,          2,0
16,       4096,      -2048,  268435456,1,         -2,0
17,       8192,       4096, -536870912,1,          2,0
18,     -16384,       8192,-1073741817,0,         -2,0
19,      32768,      16384, 2147483645,0,          2,0
20,-2147483648,          2,      16384,1,-1073741824,0
